,source,target,rel,SOURCE
33789,fludarabine,liver function test abnormal,Adverse event,SIDER
33791,fludarabine,lung infiltration,Adverse event,SIDER
33796,fludarabine,marrow depression and hypoplastic anaemias,Adverse event,SIDER
33803,fludarabine,myelodysplastic syndrome,Adverse event,SIDER
33815,fludarabine,neutrophil count decreased,Adverse event,SIDER
33822,fludarabine,optic nerve disorder,Adverse event,SIDER
33831,fludarabine,phlebitis,Adverse event,SIDER
33832,fludarabine,platelet count decreased,Adverse event,SIDER
33834,fludarabine,progressive multifocal leukoencephalopathy,Adverse event,SIDER
33835,fludarabine,progressive multifocal leukoencephalopathy,Adverse event,BNF
33840,fludarabine,pulmonary haemorrhage,Adverse event,SIDER
33842,fludarabine,pyrexia,Adverse event,BNF
33843,fludarabine,radial nerve palsy,Adverse event,SIDER
33851,fludarabine,respiratory disorder,Adverse event,BNF
33860,fludarabine,skin reaction,Adverse event,BNF
33861,fludarabine,skin toxicity,Adverse event,SIDER
33865,fludarabine,stomatitis,Adverse event,SIDER
33866,fludarabine,stomatitis,Adverse event,BNF
33873,fludarabine,tumour lysis syndrome,Adverse event,SIDER
33874,fludarabine,tumour lysis syndrome,Adverse event,BNF
33876,fludarabine,urinary hesitation,Adverse event,SIDER
33879,fludarabine,vision disorders,Adverse event,BNF
33880,fludarabine,visual impairment,Adverse event,SIDER
33889,fludrocortisone,adrenal suppression,Adverse event,BNF
33899,fludrocortisone,atrophy,Adverse event,SIDER
33900,fludrocortisone,benign intracranial hypertension,Adverse event,SIDER
33902,fludrocortisone,carbohydrate tolerance decreased,Adverse event,SIDER
33907,fludrocortisone,cataract subcapsular,Adverse event,SIDER
33908,fludrocortisone,cataract subcapsular,Adverse event,BNF
33909,fludrocortisone,chorioretinopathy,Adverse event,BNF
33916,fludrocortisone,dermatitis acneiform,Adverse event,SIDER
33917,fludrocortisone,dermatitis allergic,Adverse event,SIDER
33920,fludrocortisone,diabetes mellitus inadequate control,Adverse event,BNF
33923,fludrocortisone,ecchymosis,Adverse event,SIDER
33927,fludrocortisone,exophthalmos,Adverse event,SIDER
33937,fludrocortisone,glucose tolerance decreased,Adverse event,SIDER
33939,fludrocortisone,glycosuria,Adverse event,SIDER
33940,fludrocortisone,growth retardation,Adverse event,BNF
33958,fludrocortisone,idiopathic intracranial hypertension,Adverse event,BNF
33959,fludrocortisone,impaired healing,Adverse event,SIDER
33960,fludrocortisone,impaired healing,Adverse event,BNF
33961,fludrocortisone,increased appetite,Adverse event,BNF
33962,fludrocortisone,increased insulin requirement,Adverse event,SIDER
33971,fludrocortisone,lipoatrophy,Adverse event,SIDER
33974,fludrocortisone,menstruation irregular,Adverse event,SIDER
33975,fludrocortisone,menstruation irregular,Adverse event,BNF
33979,fludrocortisone,muscle atrophy,Adverse event,SIDER
33985,fludrocortisone,myopathy,Adverse event,SIDER
33986,fludrocortisone,myopathy,Adverse event,BNF
33990,fludrocortisone,nitrogen balance negative,Adverse event,SIDER
33996,fludrocortisone,osteonecrosis,Adverse event,SIDER
33997,fludrocortisone,osteonecrosis,Adverse event,BNF
34002,fludrocortisone,papilloedema,Adverse event,SIDER
34003,fludrocortisone,papilloedema,Adverse event,BNF
34006,fludrocortisone,petechiae,Adverse event,SIDER
34010,fludrocortisone,rash maculo-papular,Adverse event,SIDER
34013,fludrocortisone,skin hyperpigmentation,Adverse event,SIDER
34014,fludrocortisone,skin reaction,Adverse event,BNF
34015,fludrocortisone,skin striae,Adverse event,SIDER
34017,fludrocortisone,spinal compression fracture,Adverse event,SIDER
34018,fludrocortisone,telangiectasia,Adverse event,BNF
34026,fludrocortisone,vascular purpura,Adverse event,SIDER
34027,fludrocortisone,vasculitis necrotising,Adverse event,SIDER
34028,fludrocortisone,vertigo,Adverse event,SIDER
34029,fludrocortisone,vertigo,Adverse event,BNF
34033,fluorouracil,abortion spontaneous,Adverse event,SIDER
34039,fluorouracil,alopecia,Adverse event,SIDER
34040,fluorouracil,alopecia,Adverse event,BNF
34044,fluorouracil,anal inflammation,Adverse event,BNF
34047,fluorouracil,application site burn,Adverse event,SIDER
34048,fluorouracil,application site pain,Adverse event,SIDER
34049,fluorouracil,application site reaction,Adverse event,SIDER
34055,fluorouracil,balance disorder,Adverse event,SIDER
34057,fluorouracil,biliary fibrosis,Adverse event,SIDER
34061,fluorouracil,bone marrow disorder,Adverse event,BNF
34069,fluorouracil,cardiac infections and inflammations nec,Adverse event,BNF
34074,fluorouracil,cerebellar ataxia,Adverse event,SIDER
34076,fluorouracil,cerebral ischaemia,Adverse event,BNF
34081,fluorouracil,cholecystitis,Adverse event,BNF
34088,fluorouracil,congestive cardiomyopathy,Adverse event,BNF
34089,fluorouracil,conjunctival irritation,Adverse event,BNF
34092,fluorouracil,coordination and balance disturbances,Adverse event,SIDER
34093,fluorouracil,dacryocanaliculitis,Adverse event,SIDER
34097,fluorouracil,demyelination,Adverse event,SIDER
34102,fluorouracil,device related infection,Adverse event,SIDER
34105,fluorouracil,diarrhoea haemorrhagic,Adverse event,BNF
34112,fluorouracil,dysaesthesia,Adverse event,SIDER
34113,fluorouracil,dysarthria,Adverse event,SIDER
34117,fluorouracil,electrocardiogram change,Adverse event,SIDER
34118,fluorouracil,electrocardiogram st segment,Adverse event,SIDER
34123,fluorouracil,eosinophilia,Adverse event,SIDER
34124,fluorouracil,epistaxis,Adverse event,SIDER
34128,fluorouracil,extravasation,Adverse event,SIDER
34130,fluorouracil,eye inflammation,Adverse event,BNF
34131,fluorouracil,eye irritation,Adverse event,SIDER
34132,fluorouracil,febrile neutropenia,Adverse event,SIDER
34138,fluorouracil,gastrointestinal ulcer haemorrhage,Adverse event,SIDER
34150,fluorouracil,ichthyosis,Adverse event,SIDER
34151,fluorouracil,ichthyosis acquired,Adverse event,SIDER
34152,fluorouracil,immunosuppression,Adverse event,BNF
34153,fluorouracil,impaired healing,Adverse event,BNF
34156,fluorouracil,infestation,Adverse event,SIDER
34163,fluorouracil,lethargy,Adverse event,SIDER
34169,fluorouracil,local reaction,Adverse event,SIDER
34181,fluorouracil,nail discolouration,Adverse event,BNF
34182,fluorouracil,nail disorder,Adverse event,SIDER
34183,fluorouracil,nail disorder,Adverse event,BNF
34184,fluorouracil,nasal discomfort,Adverse event,SIDER
34188,fluorouracil,necrosis,Adverse event,SIDER
34193,fluorouracil,neutropenic sepsis,Adverse event,SIDER
34194,fluorouracil,nystagmus,Adverse event,SIDER
34195,fluorouracil,ocular toxicity,Adverse event,SIDER
34199,fluorouracil,onychomadesis,Adverse event,SIDER
34200,fluorouracil,optic nerve disorder,Adverse event,SIDER
34202,fluorouracil,ovulation disorder,Adverse event,BNF
34204,fluorouracil,palmar-plantar erythrodysaesthesia syndrome,Adverse event,BNF
34210,fluorouracil,pemphigoid,Adverse event,SIDER
34211,fluorouracil,pericarditis,Adverse event,SIDER
34220,fluorouracil,pyrexia,Adverse event,BNF
34222,fluorouracil,rash maculo-papular,Adverse event,SIDER
34232,fluorouracil,septic shock,Adverse event,SIDER
34235,fluorouracil,skin hyperpigmentation,Adverse event,SIDER
34236,fluorouracil,skin irritation,Adverse event,SIDER
34237,fluorouracil,skin irritation,Adverse event,BNF
34238,fluorouracil,skin reaction,Adverse event,BNF
34242,fluorouracil,speech disorder,Adverse event,SIDER
34243,fluorouracil,speech disorder,Adverse event,BNF
34244,fluorouracil,stomatitis,Adverse event,SIDER
34245,fluorouracil,stomatitis,Adverse event,BNF
34246,fluorouracil,sudden cardiac death,Adverse event,BNF
34251,fluorouracil,taste disorder,Adverse event,BNF
34252,fluorouracil,telangiectasia,Adverse event,SIDER
34261,fluorouracil,vein discolouration,Adverse event,BNF
34262,fluorouracil,ventricular septal defect,Adverse event,SIDER
34264,fluorouracil,vision disorders,Adverse event,BNF
34267,fluorouracil,white matter lesion,Adverse event,SIDER
34274,fluoxetine,abnormal dreams,Adverse event,SIDER
34275,fluoxetine,abortion,Adverse event,SIDER
34278,fluoxetine,acute abdomen,Adverse event,SIDER
34283,fluoxetine,ageusia,Adverse event,SIDER
34291,fluoxetine,alcohol intolerance,Adverse event,SIDER
34292,fluoxetine,alopecia,Adverse event,SIDER
34293,fluoxetine,alopecia,Adverse event,BNF
34295,fluoxetine,amblyopia,Adverse event,SIDER
34306,fluoxetine,anorgasmia,Adverse event,SIDER
34307,fluoxetine,antisocial behaviour,Adverse event,SIDER
34308,fluoxetine,antisocial personality disorder,Adverse event,SIDER
34312,fluoxetine,apathy,Adverse event,SIDER
34313,fluoxetine,aphthous stomatitis,Adverse event,SIDER
34316,fluoxetine,appetite disorder,Adverse event,BNF
34323,fluoxetine,asocial behaviour,Adverse event,SIDER
34329,fluoxetine,atelectasis,Adverse event,SIDER
34336,fluoxetine,balance disorder,Adverse event,SIDER
34341,fluoxetine,bleeding time prolonged,Adverse event,SIDER
34344,fluoxetine,blood alkaline phosphatase increased,Adverse event,SIDER
34345,fluoxetine,blood creatine phosphokinase increased,Adverse event,SIDER
34348,fluoxetine,blood urea increased,Adverse event,SIDER
34350,fluoxetine,body height decreased,Adverse event,SIDER
34351,fluoxetine,body temperature decreased,Adverse event,SIDER
34357,fluoxetine,breast engorgement,Adverse event,SIDER
34358,fluoxetine,breast enlargement,Adverse event,SIDER
34364,fluoxetine,bruxism,Adverse event,SIDER
34365,fluoxetine,buccoglossal syndrome,Adverse event,SIDER
34366,fluoxetine,buccoglossal syndrome,Adverse event,BNF
34370,fluoxetine,cachexia,Adverse event,SIDER
34371,fluoxetine,calculus urinary,Adverse event,SIDER
34378,fluoxetine,central nervous system stimulation,Adverse event,SIDER
34380,fluoxetine,cerebral ischaemia,Adverse event,SIDER
34382,fluoxetine,cervix haemorrhage uterine,Adverse event,SIDER
34389,fluoxetine,cholecystitis,Adverse event,SIDER
34390,fluoxetine,cholelithiasis,Adverse event,SIDER
34391,fluoxetine,chondrodystrophy,Adverse event,SIDER
34392,fluoxetine,clonic convulsion,Adverse event,SIDER
34393,fluoxetine,cold sweat,Adverse event,BNF
34403,fluoxetine,conversion disorder,Adverse event,SIDER
34406,fluoxetine,corneal lesion,Adverse event,SIDER
34408,fluoxetine,cough decreased,Adverse event,SIDER
34417,fluoxetine,dependence,Adverse event,SIDER
34419,fluoxetine,depersonalisation/derealisation disorder,Adverse event,BNF
34420,fluoxetine,depressed level of consciousness,Adverse event,SIDER
34433,fluoxetine,diarrhoea haemorrhagic,Adverse event,SIDER
34434,fluoxetine,diplopia,Adverse event,SIDER
34441,fluoxetine,disturbance in sexual arousal,Adverse event,SIDER
34442,fluoxetine,diverticulitis,Adverse event,SIDER
34451,fluoxetine,dry eye,Adverse event,SIDER
34456,fluoxetine,dysarthria,Adverse event,SIDER
34460,fluoxetine,dyspareunia,Adverse event,SIDER
34469,fluoxetine,dysuria,Adverse event,SIDER
34471,fluoxetine,ecchymosis,Adverse event,SIDER
34473,fluoxetine,ejaculation disorder,Adverse event,SIDER
34478,fluoxetine,enlarged clitoris,Adverse event,SIDER
34481,fluoxetine,eosinophilia,Adverse event,SIDER
34484,fluoxetine,epistaxis,Adverse event,SIDER
34486,fluoxetine,eructation,Adverse event,SIDER
34488,fluoxetine,erythema nodosum,Adverse event,SIDER
34490,fluoxetine,exophthalmos,Adverse event,SIDER
34493,fluoxetine,eye haemorrhage,Adverse event,SIDER
34494,fluoxetine,eye pain,Adverse event,SIDER
34495,fluoxetine,face oedema,Adverse event,SIDER
34496,fluoxetine,faecal incontinence,Adverse event,SIDER
34497,fluoxetine,fatal outcomes,Adverse event,SIDER
34504,fluoxetine,feeling jittery,Adverse event,SIDER
34505,fluoxetine,female sexual dysfunction,Adverse event,SIDER
34507,fluoxetine,flat affect,Adverse event,SIDER
34511,fluoxetine,foetal alcohol syndrome,Adverse event,SIDER
34516,fluoxetine,gait disturbance,Adverse event,SIDER
34521,fluoxetine,gastric ulcer haemorrhage,Adverse event,SIDER
34527,fluoxetine,generalised oedema,Adverse event,SIDER
34529,fluoxetine,genital haemorrhage,Adverse event,SIDER
34530,fluoxetine,gingival bleeding,Adverse event,SIDER
34533,fluoxetine,glossitis,Adverse event,SIDER
34534,fluoxetine,glycosuria,Adverse event,SIDER
34535,fluoxetine,goitre,Adverse event,SIDER
34539,fluoxetine,haematemesis,Adverse event,SIDER
34540,fluoxetine,haematochezia,Adverse event,SIDER
34542,fluoxetine,haematuria,Adverse event,SIDER
34545,fluoxetine,haemoptysis,Adverse event,SIDER
34550,fluoxetine,hangover,Adverse event,SIDER
34556,fluoxetine,hepatic steatosis,Adverse event,SIDER
34561,fluoxetine,hepatomegaly,Adverse event,SIDER
34569,fluoxetine,hydrocephalus,Adverse event,SIDER
34570,fluoxetine,hyperacusis,Adverse event,SIDER
34571,fluoxetine,hyperaesthesia,Adverse event,SIDER
34584,fluoxetine,hyperreflexia,Adverse event,SIDER
34591,fluoxetine,hyperventilation,Adverse event,SIDER
34595,fluoxetine,hypochromic anaemia,Adverse event,SIDER
34599,fluoxetine,hypomenorrhoea,Adverse event,SIDER
34600,fluoxetine,hyponatraemia,Adverse event,SIDER
34601,fluoxetine,hyponatraemia,Adverse event,BNF
34602,fluoxetine,hyporeflexia,Adverse event,SIDER
34605,fluoxetine,hypothermia,Adverse event,SIDER
34609,fluoxetine,ill-defined disorder,Adverse event,SIDER
34611,fluoxetine,inappropriate antidiuretic hormone secretion,Adverse event,SIDER
34612,fluoxetine,inappropriate antidiuretic hormone secretion,Adverse event,BNF
34613,fluoxetine,increased appetite,Adverse event,SIDER
34619,fluoxetine,intentional self-injury,Adverse event,BNF
34620,fluoxetine,intestinal obstruction,Adverse event,SIDER
34622,fluoxetine,iron deficiency anaemia,Adverse event,SIDER
34628,fluoxetine,large intestinal haemorrhage,Adverse event,SIDER
34630,fluoxetine,lethargy,Adverse event,SIDER
34631,fluoxetine,leukocytoclastic vasculitis,Adverse event,SIDER
34635,fluoxetine,libido decreased,Adverse event,SIDER
34636,fluoxetine,libido increased,Adverse event,SIDER
34638,fluoxetine,liver function test abnormal,Adverse event,SIDER
34640,fluoxetine,liver tenderness,Adverse event,SIDER
34642,fluoxetine,lymphadenopathy,Adverse event,SIDER
34643,fluoxetine,lymphocytosis,Adverse event,SIDER
34644,fluoxetine,lymphoedema,Adverse event,SIDER
34653,fluoxetine,melaena,Adverse event,SIDER
34655,fluoxetine,menometrorrhagia,Adverse event,SIDER
34660,fluoxetine,menstrual disorder,Adverse event,SIDER
34661,fluoxetine,menstruation irregular,Adverse event,BNF
34667,fluoxetine,mental status changes,Adverse event,SIDER
34668,fluoxetine,metrorrhagia,Adverse event,SIDER
34669,fluoxetine,micturition disorder,Adverse event,SIDER
34675,fluoxetine,mouth haemorrhage,Adverse event,SIDER
34676,fluoxetine,mouth ulceration,Adverse event,SIDER
34694,fluoxetine,myopathy,Adverse event,SIDER
34700,fluoxetine,necrosis,Adverse event,SIDER
34718,fluoxetine,oculogyric crisis,Adverse event,SIDER
34720,fluoxetine,oesophageal pain,Adverse event,SIDER
34721,fluoxetine,oesophageal pain,Adverse event,BNF
34722,fluoxetine,oesophageal ulcer,Adverse event,SIDER
34723,fluoxetine,oesophageal varices haemorrhage,Adverse event,SIDER
34727,fluoxetine,orchitis,Adverse event,SIDER
34728,fluoxetine,orchitis noninfective,Adverse event,SIDER
34733,fluoxetine,osteonecrosis,Adverse event,SIDER
34735,fluoxetine,ovarian disorder,Adverse event,SIDER
34736,fluoxetine,overdose,Adverse event,SIDER
34738,fluoxetine,pain in jaw,Adverse event,SIDER
34752,fluoxetine,paraesthesia oral,Adverse event,SIDER
34753,fluoxetine,paralysis,Adverse event,SIDER
34754,fluoxetine,paranoia,Adverse event,SIDER
34755,fluoxetine,parosmia,Adverse event,SIDER
34756,fluoxetine,pelvic pain,Adverse event,SIDER
34759,fluoxetine,peroneal nerve palsy,Adverse event,SIDER
34761,fluoxetine,petechiae,Adverse event,SIDER
34764,fluoxetine,phlebitis,Adverse event,SIDER
34768,fluoxetine,physical assault,Adverse event,SIDER
34771,fluoxetine,pneumothorax,Adverse event,SIDER
34775,fluoxetine,postmenopausal haemorrhage,Adverse event,BNF
34779,fluoxetine,priapism,Adverse event,SIDER
34780,fluoxetine,protrusion tongue,Adverse event,SIDER
34791,fluoxetine,pyrexia,Adverse event,BNF
34792,fluoxetine,pyuria,Adverse event,SIDER
34794,fluoxetine,rash maculo-papular,Adverse event,SIDER
34796,fluoxetine,rectal haemorrhage,Adverse event,SIDER
34797,fluoxetine,red blood cell sedimentation rate increased,Adverse event,SIDER
34802,fluoxetine,renal pain,Adverse event,SIDER
34803,fluoxetine,respiratory disorder,Adverse event,BNF
34806,fluoxetine,retinal haemorrhage,Adverse event,SIDER
34809,fluoxetine,salivary gland enlargement,Adverse event,SIDER
34810,fluoxetine,salivary hypersecretion,Adverse event,SIDER
34812,fluoxetine,scleritis,Adverse event,SIDER
34813,fluoxetine,scotoma,Adverse event,SIDER
34816,fluoxetine,self-injurious ideation,Adverse event,SIDER
34819,fluoxetine,serotonin syndrome,Adverse event,SIDER
34820,fluoxetine,serotonin syndrome,Adverse event,BNF
34827,fluoxetine,skin discolouration,Adverse event,SIDER
34829,fluoxetine,skin hypertrophy,Adverse event,SIDER
34830,fluoxetine,skin reaction,Adverse event,BNF
34836,fluoxetine,speech disorder,Adverse event,BNF
34840,fluoxetine,stomatitis,Adverse event,SIDER
34841,fluoxetine,stridor,Adverse event,SIDER
34854,fluoxetine,taste disorder,Adverse event,BNF
34859,fluoxetine,thinking abnormal,Adverse event,SIDER
34860,fluoxetine,thinking abnormal,Adverse event,BNF
34861,fluoxetine,thirst,Adverse event,SIDER
34868,fluoxetine,tinnitus,Adverse event,SIDER
34869,fluoxetine,tinnitus,Adverse event,BNF
34870,fluoxetine,toe walking,Adverse event,SIDER
34871,fluoxetine,tongue discolouration,Adverse event,SIDER
34872,fluoxetine,tongue disorder,Adverse event,SIDER
34873,fluoxetine,tongue oedema,Adverse event,SIDER
34880,fluoxetine,ulcer haemorrhage,Adverse event,SIDER
34882,fluoxetine,urethral pain,Adverse event,SIDER
34890,fluoxetine,urogenital haemorrhage,Adverse event,SIDER
34892,fluoxetine,uterine disorder,Adverse event,BNF
34893,fluoxetine,uterine haemorrhage,Adverse event,SIDER
34894,fluoxetine,uterine leiomyoma,Adverse event,SIDER
34895,fluoxetine,uterine spasm,Adverse event,SIDER
34897,fluoxetine,vaginal haemorrhage,Adverse event,SIDER
34901,fluoxetine,vascular purpura,Adverse event,SIDER
34904,fluoxetine,vasodilatation,Adverse event,BNF
34910,fluoxetine,vertigo,Adverse event,SIDER
34912,fluoxetine,visual impairment,Adverse event,SIDER
34913,fluoxetine,visual impairment,Adverse event,BNF
34922,fluoxetine,yawning,Adverse event,SIDER
34923,fluoxetine,yawning,Adverse event,BNF
34928,flupenthixol,appetite disorder,Adverse event,BNF
34937,flupenthixol,drug withdrawal syndrome neonatal,Adverse event,BNF
34957,flupenthixol,muscle related signs and symptoms nec,Adverse event,BNF
34962,flupenthixol,oculogyric crisis,Adverse event,BNF
34967,flupenthixol,salivary hypersecretion,Adverse event,BNF
34970,flupenthixol,skin reaction,Adverse event,BNF
34972,flupenthixol,speech disorder,Adverse event,BNF
34979,flupenthixol,vision disorders,Adverse event,BNF
34982,fluphenazine,abnormal dreams,Adverse event,SIDER
34983,fluphenazine,acute kidney injury,Adverse event,BNF
34990,fluphenazine,akinesia,Adverse event,SIDER
34991,fluphenazine,altered state of consciousness,Adverse event,SIDER
34999,fluphenazine,asphyxia,Adverse event,SIDER
35001,fluphenazine,autonomic nervous system imbalance,Adverse event,SIDER
35002,fluphenazine,blood creatine phosphokinase increased,Adverse event,SIDER
35006,fluphenazine,body temperature decreased,Adverse event,SIDER
35013,fluphenazine,catatonia,Adverse event,SIDER
35015,fluphenazine,choreoathetosis,Adverse event,SIDER
35017,fluphenazine,colour blindness,Adverse event,SIDER
35023,fluphenazine,corneal opacity,Adverse event,SIDER
35027,fluphenazine,depressed level of consciousness,Adverse event,SIDER
35028,fluphenazine,dermatitis allergic,Adverse event,SIDER
35033,fluphenazine,disturbance in sexual arousal,Adverse event,SIDER
35036,fluphenazine,drug withdrawal syndrome neonatal,Adverse event,BNF
35042,fluphenazine,dystonia,Adverse event,SIDER
35047,fluphenazine,eosinophilia,Adverse event,SIDER
35048,fluphenazine,epigastric discomfort,Adverse event,SIDER
35054,fluphenazine,faecalith,Adverse event,SIDER
35055,fluphenazine,faecaloma,Adverse event,SIDER
35070,fluphenazine,hyperreflexia,Adverse event,SIDER
35074,fluphenazine,hyponatraemia,Adverse event,SIDER
35075,fluphenazine,hyponatraemia,Adverse event,BNF
35078,fluphenazine,hypothermia,Adverse event,SIDER
35081,fluphenazine,inappropriate antidiuretic hormone secretion,Adverse event,SIDER
35082,fluphenazine,inappropriate antidiuretic hormone secretion,Adverse event,BNF
35085,fluphenazine,labile blood pressure,Adverse event,SIDER
35087,fluphenazine,lenticular opacities,Adverse event,BNF
35088,fluphenazine,lethargy,Adverse event,SIDER
35093,fluphenazine,libido increased,Adverse event,SIDER
35099,fluphenazine,menstruation irregular,Adverse event,SIDER
35112,fluphenazine,night blindness,Adverse event,SIDER
35113,fluphenazine,oculogyric crisis,Adverse event,SIDER
35114,fluphenazine,oculogyric crisis,Adverse event,BNF
35118,fluphenazine,opisthotonus,Adverse event,SIDER
35126,fluphenazine,pigmentation disorder,Adverse event,SIDER
35129,fluphenazine,priapism,Adverse event,SIDER
35130,fluphenazine,protrusion tongue,Adverse event,SIDER
35132,fluphenazine,psychotic behaviour,Adverse event,SIDER
35135,fluphenazine,purpura non-thrombocytopenic,Adverse event,SIDER
35141,fluphenazine,salivary hypersecretion,Adverse event,SIDER
35151,fluphenazine,spasmodic dysphonia,Adverse event,SIDER
35159,fluphenazine,temperature regulation disorder,Adverse event,BNF
35161,fluphenazine,throat tightness,Adverse event,SIDER
35186,flurazepam,anterograde amnesia,Adverse event,BNF
35190,flurazepam,aspartate aminotransferase increased,Adverse event,SIDER
35194,flurazepam,blood alkaline phosphatase increased,Adverse event,SIDER
35203,flurazepam,depressed level of consciousness,Adverse event,BNF
35213,flurazepam,dysarthria,Adverse event,SIDER
35214,flurazepam,dysarthria,Adverse event,BNF
35223,flurazepam,gait disturbance,Adverse event,SIDER
35237,flurazepam,lethargy,Adverse event,SIDER
35240,flurazepam,libido disorder,Adverse event,BNF
35241,flurazepam,logorrhoea,Adverse event,SIDER
35252,flurazepam,paradoxical drug reaction,Adverse event,BNF
35258,flurazepam,salivary hypersecretion,Adverse event,SIDER
35266,flurazepam,taste disorder,Adverse event,BNF
35269,flurazepam,thinking abnormal,Adverse event,SIDER
35273,flurazepam,vertigo,Adverse event,BNF
35275,flurazepam,vision disorders,Adverse event,BNF
35288,flurbiprofen,alopecia,Adverse event,SIDER
35289,flurbiprofen,amblyopia,Adverse event,SIDER
35311,flurbiprofen,bleeding time prolonged,Adverse event,SIDER
35321,flurbiprofen,cerebral ischaemia,Adverse event,SIDER
35325,flurbiprofen,cholecystitis,Adverse event,SIDER
35334,flurbiprofen,corneal opacity,Adverse event,SIDER
35346,flurbiprofen,diarrhoea haemorrhagic,Adverse event,SIDER
35347,flurbiprofen,diplopia,Adverse event,SIDER
35349,flurbiprofen,disturbance in sexual arousal,Adverse event,SIDER
35359,flurbiprofen,dysuria,Adverse event,SIDER
35360,flurbiprofen,ear disorder,Adverse event,SIDER
35361,flurbiprofen,ecchymosis,Adverse event,SIDER
35367,flurbiprofen,eosinophilia,Adverse event,SIDER
35368,flurbiprofen,epistaxis,Adverse event,SIDER
35370,flurbiprofen,eructation,Adverse event,SIDER
35375,flurbiprofen,eye irritation,Adverse event,SIDER
35385,flurbiprofen,gastrointestinal perforation,Adverse event,SIDER
35386,flurbiprofen,gastrointestinal ulcer haemorrhage,Adverse event,SIDER
35387,flurbiprofen,gingival bleeding,Adverse event,SIDER
35390,flurbiprofen,glossitis,Adverse event,SIDER
35391,flurbiprofen,haematemesis,Adverse event,SIDER
35392,flurbiprofen,haematuria,Adverse event,SIDER
35398,flurbiprofen,haemorrhagic diathesis,Adverse event,SIDER
35413,flurbiprofen,hyperreflexia,Adverse event,SIDER
35420,flurbiprofen,hyperventilation,Adverse event,SIDER
35421,flurbiprofen,hyphaema,Adverse event,SIDER
35423,flurbiprofen,ill-defined disorder,Adverse event,SIDER
35424,flurbiprofen,incontinence,Adverse event,SIDER
35425,flurbiprofen,increased appetite,Adverse event,SIDER
35434,flurbiprofen,iron deficiency anaemia,Adverse event,SIDER
35442,flurbiprofen,libido decreased,Adverse event,SIDER
35446,flurbiprofen,lymphadenopathy,Adverse event,SIDER
35449,flurbiprofen,melaena,Adverse event,SIDER
35451,flurbiprofen,meningitis aseptic,Adverse event,SIDER
35452,flurbiprofen,meningitis aseptic,Adverse event,BNF
35456,flurbiprofen,mouth ulceration,Adverse event,BNF
35463,flurbiprofen,nail discolouration,Adverse event,SIDER
35464,flurbiprofen,nail disorder,Adverse event,SIDER
35473,flurbiprofen,ocular discomfort,Adverse event,BNF
35477,flurbiprofen,oesophageal disorder,Adverse event,SIDER
35492,flurbiprofen,parosmia,Adverse event,SIDER
35494,flurbiprofen,petechiae,Adverse event,SIDER
35496,flurbiprofen,phlebitis,Adverse event,SIDER
35500,flurbiprofen,platelet aggregation inhibition,Adverse event,BNF
35503,flurbiprofen,prostatic disorder,Adverse event,SIDER
35509,flurbiprofen,pulmonary infarction,Adverse event,SIDER
35511,flurbiprofen,pyrexia,Adverse event,SIDER
35512,flurbiprofen,pyuria,Adverse event,SIDER
35514,flurbiprofen,rectal haemorrhage,Adverse event,SIDER
35519,flurbiprofen,retinal haemorrhage,Adverse event,SIDER
35522,flurbiprofen,right ventricular failure,Adverse event,SIDER
35523,flurbiprofen,scleritis,Adverse event,SIDER
35529,flurbiprofen,skin reaction,Adverse event,BNF
35533,flurbiprofen,speech disorder,Adverse event,SIDER
35536,flurbiprofen,stomatitis,Adverse event,SIDER
35540,flurbiprofen,taste disorder,Adverse event,BNF
35544,flurbiprofen,thirst,Adverse event,SIDER
35547,flurbiprofen,tinnitus,Adverse event,SIDER
35548,flurbiprofen,tinnitus,Adverse event,BNF
35549,flurbiprofen,tooth abscess,Adverse event,SIDER
35552,flurbiprofen,tubulointerstitial nephritis,Adverse event,SIDER
35553,flurbiprofen,tubulointerstitial nephritis,Adverse event,BNF
35558,flurbiprofen,urine abnormality,Adverse event,SIDER
35559,flurbiprofen,urine analysis abnormal,Adverse event,SIDER
35562,flurbiprofen,uterine haemorrhage,Adverse event,SIDER
35566,flurbiprofen,vascular purpura,Adverse event,SIDER
35571,flurbiprofen,vertigo,Adverse event,SIDER
35572,flurbiprofen,vertigo,Adverse event,BNF
35573,flurbiprofen,visual impairment,Adverse event,SIDER
35574,flurbiprofen,visual impairment,Adverse event,BNF
35578,flurbiprofen,white blood cell disorder,Adverse event,SIDER
35582,fluticasone,abdominal pain upper,Adverse event,SIDER
35584,fluticasone,adrenal suppression,Adverse event,BNF
35586,fluticasone,ageusia,Adverse event,SIDER
35589,fluticasone,allergic granulomatous angiitis,Adverse event,SIDER
35594,fluticasone,aphonia,Adverse event,SIDER
35600,fluticasone,atrophy,Adverse event,SIDER
35604,fluticasone,blood glucose increased,Adverse event,SIDER
35610,fluticasone,bronchospasm paradoxical,Adverse event,SIDER
35613,fluticasone,cataract subcapsular,Adverse event,SIDER
35616,fluticasone,cholecystitis,Adverse event,SIDER
35622,fluticasone,dental caries,Adverse event,SIDER
35623,fluticasone,dental discomfort,Adverse event,SIDER
35625,fluticasone,dermatitis acneiform,Adverse event,SIDER
35626,fluticasone,dermatitis allergic,Adverse event,SIDER
35638,fluticasone,dry throat,Adverse event,SIDER
35640,fluticasone,dyspeptic signs and symptoms,Adverse event,SIDER
